title,skills
Software Engineer,"python, java, javascript, git, data structures, algorithms"
Data Scientist,"python, r, sql, statistics, machine learning"
Frontend Developer,"html, css, javascript, typescript, react"
Full Stack Developer,"html, css, javascript, react, node.js"
Mobile App Developer,"android, ios, react native, flutter"
Artificial Intelligence,"python, r, java, c++, julia"
Blockchain,"solidity, javascript, go, rust, python"
VR & AR,"c#, c++, javascript, python"
Big Data,"python, scala, java, sql"
Data Science,"python, r, sql, julia"
Cyber Security,"python, c, javascript, bash"
